X,Y,nom,id,objectid,numero_uai,appellatio,denominati,patronyme_,adresse_ua,lieu_dit_u,code_posta,localite_a,libelle_co,code_depar,code_acade,code_commu
656326.600000001,6852175.3045,Collège Emile Zola,0941040V,1,0941040V,Collège Emile Zola,COLLEGE,EMILE ZOLA,30 bis rue EMILE ZOLA -PLACE D'HENNIGS, ,94600,CHOISY LE ROI,Choisy-le-Roi,94,24,94022
655666.5,6849480.2045,Collège Dorval,0941042X,2,0941042X,Collège Dorval,COLLEGE,DORVAL,16 rue du Maréchal Foch, ,94310,ORLY,Orly,94,24,94054
661385.700000003,6860690.4045,Collège Victor Duruy,0941090Z,3,0941090Z,Collège Victor Duruy,COLLEGE,VICTOR DURUY,3 rue MOLIERE, ,94120,FONTENAY SOUS BOIS,Fontenay-sous-Bois,94,24,94033
656602.200000003,6851247.6045,Collège Henri Matisse,0941231C,4,0941231C,Collège Henri Matisse,COLLEGE,HENRI MATISSE,25 rue PAUL CARLE, ,94600,CHOISY LE ROI,Choisy-le-Roi,94,24,94022
661154.700000003,6852092.8045,Collège Simone de Beauvoir,0942127B,5,0942127B,Collège Simone de Beauvoir,COLLEGE,SIMONE DE BEAUVOIR,9 mail SAUSSURE, ,94000,CRETEIL,Créteil,94,24,94028
662357.100000001,6865819.7045,Collège Pierre Curie,0931005M,6,0931005M,Collège Pierre Curie,COLLEGE,PIERRE CURIE,128 route DE VILLEMOMBLE, ,93140,BONDY,Bondy,93,24,93010
653857.899999999,6872593.4045,Collège Barbara,0931147S,7,0931147S,Collège Barbara,COLLEGE,BARBARA,19 rue D'AMIENS, ,93240,STAINS,Stains,93,24,93072
659380.299999997,6868039.9045,Collège Pierre Semard,0931196V,8,0931196V,Collège Pierre Semard,COLLEGE,PIERRE SEMARD,85 rue PIERRE SEMARD, ,93000,BOBIGNY,Bobigny,93,24,93008
658690.5,6869745.8045,Collège Pierre Sémard,0931200Z,9,0931200Z,Collège Pierre Sémard,COLLEGE,PIERRE SEMARD,1 place MAURICE NILES, ,93700,DRANCY,Drancy,93,24,93029
659690.700000003,6868361.2045,Collège Liberté,0931202B,10,0931202B,Collège Liberté,COLLEGE,LIBERTE,84 rue de la Liberté, ,93700,DRANCY,Drancy,93,24,93029
658702.299999997,6861926.6045,Collège Marcelin Berthelot,0931210K,11,0931210K,Collège Marcelin Berthelot,COLLEGE,MARCELIN BERTHELOT,21 rue DE VINCENNES, ,93104,MONTREUIL CEDEX,Montreuil,93,24,93048
659870.0,6864108.4045,Collège Colonel Fabien,0931213N,12,0931213N,Collège Colonel Fabien,COLLEGE,COLONEL FABIEN,81 avenue DU COLONEL FABIEN, ,93100,MONTREUIL,Montreuil,93,24,93048
656866.0,6868548.2045,Collège Jean Jaurès,0931216S,13,0931216S,Collège Jean Jaurès,COLLEGE,JEAN JAURES,3 rue EDOUARD RENARD PROLONGEE, ,93500,PANTIN,Pantin,93,24,93055
655762.600000001,6867127.0045,Collège Jean Lolive,0931218U,14,0931218U,Collège Jean Lolive,COLLEGE,JEAN LOLIVE,34 rue CARTIER BRESSON, ,93500,PANTIN,Pantin,93,24,93055
