X,Y,nom,id,objectid,numero_uai,appellatio,patronyme_,secteur_pu,adresse_ua,lieu_dit_u,boite_post,code_posta,localite_a,libelle_co,localisati,nature_uai,nature_u_1,code_depar,code_acade,code_commu
662104.399999999,6852788.7045,Ecole primaire Langevin Wallon,0941131U,1,0941131U,Ecole primaire Langevin Wallon,LANGEVIN WALLON,Public,18 rue Auguste Gross, , ,94380,BONNEUIL SUR MARNE,Bonneuil-sur-Marne,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94011
665462.200000003,6850397.8045,Ecole primaire Bois Clary,0941132V,2,0941132V,Ecole primaire Bois Clary,BOIS CLARY,Public,25 rue Maison Blanche, , ,94470,BOISSY ST LEGER,Boissy-Saint-Léger,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94004
659773.700000003,6850200.2045,Ecole maternelle Jean de La Fontaine,0941141E,3,0941141E,Ecole maternelle Jean de La Fontaine,JEAN DE LA FONTAINE,Public,5 rue Albert Camus, , ,94190,VILLENEUVE ST GEORGES,Villeneuve-Saint-Georges,Numéro de rue,101,ECOLE MATERNELLE,94,24,94078
659651.5,6854189.9045,Ecole primaire Croix des Meches-Chateaubriand,0941254C,4,0941254C,Ecole primaire Croix des Meches-Chateaubriand,CHATEAUBRIAND,Public,11 avenue CORVISART, , ,94000,CRETEIL,Créteil,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94028
661349.0,6861448.6045,Ecole primaire Michelet,0941319Y,5,0941319Y,Ecole primaire Michelet,MICHELET,Public,1 rue Michelet, , ,94120,FONTENAY SOUS BOIS,Fontenay-sous-Bois,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94033
655450.100000001,6853337.4045,Ecole primaire Victor Hugo,0941390A,6,0941390A,Ecole primaire Victor Hugo,VICTOR HUGO,Public,3840 rue Henri Matisse, , ,94400,VITRY SUR SEINE,Vitry-sur-Seine,Rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94081
663252.0,6858579.1045,Ecole primaire Jean Jaurès Le Tremblay,0941401M,7,0941401M,Ecole primaire Jean Jaurès Le Tremblay,JEAN JAURES,Public,6 rue du Verrou, , ,94500,CHAMPIGNY SUR MARNE,Champigny-sur-Marne,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94017
667838.299999997,6854938.7045,Ecole maternelle P Kergomard,0941513J,8,0941513J,Ecole maternelle P Kergomard,PAULINE KERGOMARD,Public,32 bis allée des Clématites, , ,94510,LA QUEUE EN BRIE,La Queue-en-Brie,Numéro de rue,101,ECOLE MATERNELLE,94,24,94060
657675.0,6849090.1045,Ecole maternelle d'application Paul Eluard,0941540N,9,0941540N,Ecole maternelle d'application Paul Eluard,PAUL ELUARD,Public,70 rue Jean Jacques Rousseau, , ,94290,VILLENEUVE LE ROI,Villeneuve-le-Roi,Numéro de rue,101,ECOLE MATERNELLE,94,24,94077
658957.700000003,6855729.9045,Ecole maternelle Georges Pompidou,0941547W,10,0941547W,Ecole maternelle Georges Pompidou,GEORGES POMPIDOU,Public,16 rue Georges Gaume, , ,94700,MAISONS ALFORT,Maisons-Alfort,Numéro de rue,101,ECOLE MATERNELLE,94,24,94046
654179.200000003,6853040.5045,Ecole primaire Paul Langevin,0941608M,11,0941608M,Ecole primaire Paul Langevin,PAUL LANGEVIN,Public,97 rue Paul Armangot, , ,94400,VITRY SUR SEINE,Vitry-sur-Seine,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94081
656167.100000001,6853874.3045,Ecole primaire Blaise Pascal,0942044L,12,0942044L,Ecole primaire Blaise Pascal,BLAISE PASCAL,Public,50 rue Victor Ruiz, , ,94400,VITRY SUR SEINE,Vitry-sur-Seine,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94081
656163.5,6848615.2045,Ecole maternelle Annie Fratellini,0942090L,13,0942090L,Ecole maternelle Annie Fratellini,ANNIE FRATELLINI,Public,23 voie Normande, , ,94290,VILLENEUVE LE ROI,Villeneuve-le-Roi,Numéro de rue,101,ECOLE MATERNELLE,94,24,94077
658468.5,6850145.5045,Ecole élémentaire Paul Bert,0942110H,14,0942110H,Ecole élémentaire Paul Bert,PAUL BERT,Public,36 bis avenue de Choisy, , ,94190,VILLENEUVE ST GEORGES,Villeneuve-Saint-Georges,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94078
653837.799999997,6854063.9045,Ecole élémentaire Paul Vaillant Couturier,0942121V,15,0942121V,Ecole élémentaire Paul Vaillant Couturier,PAUL VAILLANT COUTURIER,Public,4 place Paul Eluard, , ,94800,VILLEJUIF,Villejuif,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,94,24,94076
