objectid,numero_uai,appellatio,denominati,patronyme_,secteur_pu,adresse_ua,lieu_dit_u,boite_post,code_posta,localite_a,libelle_co,appariemen,localisati,nature_uai,etat_eta_1,code_depar,code_acade,code_commu,libelle_de,libelle_ac,contrat,id,nom,x,y
1,0941474S,Lycée polyvalent Darius Milhaud,LYCEE POLYVALENT,DARIUS MILHAUD,Public,80 rue DU PROFESSEUR BERGONIE, , ,94276,LE KREMLIN BICETRE CEDEX,Le Kremlin-Bicêtre,Correcte,Numéro de rue,306,OUVERT,94,24,94043,Val-de-Marne,Créteil,Public,0941474S,Lycée polyvalent Darius Milhaud,652310.200037,6855996.50454
2,0941952L,Lycée polyvalent François Arago,LYCEE POLYVALENT,FRANCOIS ARAGO,Public,36 avenue de l'Europe, , ,94190,VILLENEUVE ST GEORGES,Villeneuve-Saint-Georges,Parfaite,Numéro de rue,306,OUVERT,94,24,94078,Val-de-Marne,Créteil,Public,0941952L,Lycée polyvalent François Arago,660081.800031,6847939.90454
3,0753377N,IPECOM Prépa Sciences (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,IPECOM PREPA SCIENCES,Privé,8  RUE BENJAMIN GODARD, , ,75016,PARIS,Paris 16e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75116,Paris,Paris,Privé hors contrat,0753377N,IPECOM Prépa Sciences (Ecole secondaire privée),646860.300042,6863182.90453
4,0931198X,Lycée professionnel Alfred Costes - Lycée des métiers de la communication et de l'industrie graphique,LP LYCEE DES METIERS,ALFRED COSTES,Public,146 avenue Henri Barbusse, , ,93000,BOBIGNY,Bobigny,Parfaite,Numéro de rue,320,OUVERT,93,24,93008,Seine-Saint-Denis,Créteil,Public,0931198X,Lycée professionnel Alfred Costes - Lycée des métiers de la communication et de l'industrie graphique,658128.800033,6867732.90453
5,0750660K,Lycée général Fénelon,LYCEE GENERAL,FENELON,Public,2 RUE DE L'EPERON, , ,75006,PARIS,Paris  6e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75106,Paris,Paris,Public,0750660K,Lycée général Fénelon,651628.500038,6861664.40453
6,0750668U,Lycée général Jacques Decour,LYCEE GENERAL,JACQUES DECOUR,Public,12 AVENUE TRUDAINE, , ,75009,PARIS,Paris  9e  Arrondissement,Parfaite,Numéro de rue,302,OUVERT,75,01,75109,Paris,Paris,Public,0750668U,Lycée général Jacques Decour,651847.200038,6864807.40453
7,0750671X,Lycée polyvalent Edgar Quinet,LYCEE POLYVALENT,EDGAR QUINET,Public,63 rue DES MARTYRS, , ,75009,PARIS,Paris  9e  Arrondissement,Parfaite,Numéro de rue,306,OUVERT,75,01,75109,Paris,Paris,Public,0750671X,Lycée polyvalent Edgar Quinet,651587.200038,6864784.50453
8,0750672Y,Lycée technologique Duperré Ecole Supérieure des Arts Appliqués,LYCEE TECHNOLOGIQUE,DUPERRE ESAA,Public,11 RUE DUPETIT THOUARS, , ,75003,PARIS,Paris  3e  Arrondissement,Parfaite,Numéro de rue,301,OUVERT,75,01,75103,Paris,Paris,Public,0750672Y,Lycée technologique Duperré Ecole Supérieure des Arts Appliqués,653198.400037,6862975.80453
9,0750674A,Lycée technologique Jules Siegfried,LYCEE TECHNOLOGIQUE,JULES SIEGFRIED,Public,12 rue D'ABBEVILLE, , ,75010,PARIS,Paris 10e  Arrondissement,Parfaite,Numéro de rue,301,OUVERT,75,01,75110,Paris,Paris,Public,0750674A,Lycée technologique Jules Siegfried,652325.700037,6864524.80453
10,0750681H,"Lycée Polyvalent Boulle - Lycée des métiers d'art, d'architecture intérieure et du design",LPO LYCEE DES METIERS,BOULLE ESAA,Public,9 rue PIERRE BOURDAN, , ,75012,PARIS,Paris 12e  Arrondissement,Parfaite,Numéro de rue,306,OUVERT,75,01,75112,Paris,Paris,Public,0750681H,"Lycée Polyvalent Boulle - Lycée des métiers d'art, d'architecture intérieure et du design",655344.400035,6860917.50453
