code_iris,nom_com,nom_iris,surface_m2,nb_arbres_alignement,nb_initiatives,ratio_parcs_pct,ratio_canopee_pct,score_parcs,score_rues,score_initiatives,IMVU_Global
751031101,Paris 3e Arrondissement,Les Archives 1,76920.47000032711,0,0,0.9865460318591679,0.0,4.5,0.0,0.0,2.2
751051702,Paris 5e Arrondissement,Saint-Victor 2,48481.21499999673,0,0,21.568586493998627,0.0,97.5,0.0,0.0,48.8
751062309,Paris 6e Arrondissement,Notre-Dame des Champs 9,80911.95499998756,3,0,0.006461806936956799,0.01888333378772556,0.0,4.8,0.0,1.4
751072503,Paris 7e Arrondissement,Saint-Thomas d'Aquin 3,186399.99000033844,0,1,4.461416465234254,0.0,20.2,0.0,50.0,20.1
751135029,Paris 13e Arrondissement,Gare 29,115097.14999998441,19,0,6.001493925288176,0.11460545880986692,27.1,28.9,0.0,22.2
751135104,Paris 13e Arrondissement,Maison Blanche 4,49549.32999975434,5,0,2.1576371738781064,0.061542884831254696,9.7,15.5,0.0,9.5
751135206,Paris 13e Arrondissement,Croulebarbe 6,121811.28000039895,11,0,2.2421095488521012,0.06454454947615591,10.1,16.3,0.0,9.9
751145512,Paris 14e Arrondissement,Petit Montrouge 12,62365.90500018219,6,0,0.019804354455294305,0.07860019424421176,0.1,19.9,0.0,6.0
751187008,Paris 18e Arrondissement,Clignancourt 8,50090.01000013929,2,0,6.199647431211323,0.020335225243223103,28.0,5.1,0.0,15.5
751187017,Paris 18e Arrondissement,Clignancourt 17,76503.48000002955,8,0,0.0,0.05325727069083586,0.0,13.5,0.0,4.0
751187204,Paris 18e Arrondissement,Chapelle 4,50402.24000008514,0,0,0.0009908785870149698,0.0,0.0,0.0,0.0,0.0
751197304,Paris 19e Arrondissement,Villette 4,63130.860000210654,13,0,0.508528022253064,0.14319463995246529,2.3,36.2,0.0,12.0
751197307,Paris 19e Arrondissement,Villette 7,62590.04000032672,5,1,0.47391675022832946,0.04068505291667864,2.1,10.3,50.0,14.1
751207712,Paris 20e Arrondissement,Belleville 12,68749.33000012468,1,0,0.41918813033594293,0.007408011363792803,1.9,1.9,0.0,1.5
