iris_code,iris_name,iris_commune,arrondissement,iris_surface_m2,shops_count,food_stores_count,restaurants_count,loisir_count,pharmacies_count,colleges_count,schools_count,lycees_count,hospitals_count,green_spaces_count,sports_count,health_services,education_sites,sports_sites,local_life_sites,health_density,education_density,sport_density,vibrance_density,green_space_density,avg_noise_db
751103988,Canal Saint-Martin 1,Paris 10e Arrondissement,10,30949.674999951356,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,64.62103398511111,41.07
751104088,Canal Saint-Martin 2,Paris 10e Arrondissement,10,66435.45499987465,2,0,2,0,0,0,1,0,0,2,0,0,1,0,2,0.0,15.052203676514097,0.0,30.104407353028193,30.104407353028193,41.07
751104001,Hôpital Saint-Louis 1,Paris 10e Arrondissement,10,53338.59000009112,94,25,18,8,1,0,0,0,0,0,2,1,0,2,51,18.74815213522314,0.0,37.49630427044628,956.1557588963802,0.0,41.07
751104010,Hôpital Saint-Louis 10,Paris 10e Arrondissement,10,65670.94500032258,10,2,1,2,0,1,0,0,0,1,0,0,1,0,5,0.0,15.227434293736566,0.0,76.13717146868284,15.227434293736566,41.07
751104011,Hôpital Saint-Louis 11,Paris 10e Arrondissement,10,60546.79500011909,76,8,21,10,0,1,1,0,0,0,2,0,2,2,39,0.0,33.03230170971174,33.03230170971174,644.1298833393789,0.0,41.07
751104012,Hôpital Saint-Louis 12,Paris 10e Arrondissement,10,105693.25000025038,4,0,3,0,0,0,0,0,1,1,3,1,0,3,3,9.46134213866667,0.0,28.384026416000008,28.384026416000008,9.46134213866667,41.07
751104002,Hôpital Saint-Louis 2,Paris 10e Arrondissement,10,57774.83000004671,39,8,8,3,2,0,1,0,1,2,1,3,1,1,19,51.925726133639415,17.308575377879805,17.308575377879805,328.86293217971627,34.61715075575961,41.07
751104003,Hôpital Saint-Louis 3,Paris 10e Arrondissement,10,47286.14500009882,106,18,20,12,2,0,0,0,0,0,1,2,0,1,50,42.2956872461441,0.0,21.14784362307205,1057.3921811536025,0.0,41.07
751104004,Hôpital Saint-Louis 4,Paris 10e Arrondissement,10,34152.72000002754,56,8,19,4,2,0,2,0,0,0,2,2,2,2,31,58.56048947194798,58.56048947194798,58.56048947194798,907.6875868151938,0.0,41.07
751104005,Hôpital Saint-Louis 5,Paris 10e Arrondissement,10,27250.01000026887,55,7,27,5,1,0,0,0,0,0,0,1,0,0,39,36.697234239184986,0.0,0.0,1431.1921353282144,0.0,41.07
751104006,Hôpital Saint-Louis 6,Paris 10e Arrondissement,10,70754.52000005855,73,13,27,3,2,1,2,0,0,1,1,2,3,1,43,28.266745361262362,42.40011804189354,14.133372680631181,607.7350252671407,14.133372680631181,41.07
751104007,Hôpital Saint-Louis 7,Paris 10e Arrondissement,10,109940.88000037495,27,4,7,3,0,0,3,2,1,1,20,1,5,20,14,9.095797668679653,45.478988343398264,181.91595337359306,127.34116736151515,9.095797668679653,41.07
