n_sq_ar,c_ar,c_arinsee,l_ar,l_aroff,n_sq_co,prix_m2_median,loyer_m2_median,median_income_monthly_uc,loyer_theorique_35m2,taux_effort,score_affordability
750000012,12,75112,12ème Ardt,Reuilly,750001537,10171.88,29.1,2657,1018.5,0.3833270605946556,5.032405573004205
750000012,12,75112,12ème Ardt,Reuilly,750001537,9542.42,29.9,2657,1046.5,0.39386526157320284,4.66267361798344
750000012,12,75112,12ème Ardt,Reuilly,750001537,8942.18,31.0,2657,1085.0,0.4083552879187053,4.1542921798298895
750000002,2,75102,2ème Ardt,Bourse,750001537,12000.0,29.1,3122,1018.5,0.32623318385650224,7.035539761570617
750000002,2,75102,2ème Ardt,Bourse,750001537,11636.13,29.9,3122,1046.5,0.3352017937219731,6.720876787678824
750000002,2,75102,2ème Ardt,Bourse,750001537,11250.0,31.0,3122,1085.0,0.3475336322869955,6.288215198577614
750000008,8,75108,8ème Ardt,Élysée,750001537,12977.1,30.1,4255,1053.5,0.24759106933019975,9.794692183313959
750000008,8,75108,8ème Ardt,Élysée,750001537,12794.12,30.4,4255,1064.0,0.2500587544065805,9.708113645902957
750000008,8,75108,8ème Ardt,Élysée,750001537,12019.23,31.8,4255,1113.0,0.26157461809635724,9.30408047131828
750000020,20,75120,20ème Ardt,Ménilmontant,750001537,9417.48,26.6,1970,931.0,0.47258883248730965,1.9006633052610644
750000020,20,75120,20ème Ardt,Ménilmontant,750001537,8833.33,27.3,1970,955.5,0.4850253807106599,1.4643279860078162
750000020,20,75120,20ème Ardt,Ménilmontant,750001537,8285.71,28.4,1970,994.0,0.5045685279187817,0.7786581986098551
750000003,3,75103,3ème Ardt,Temple,750001537,12611.11,29.1,3207,1018.5,0.3175865294667914,7.338906952840239
750000003,3,75103,3ème Ardt,Temple,750001537,12250.0,29.9,3207,1046.5,0.3263174306205176,7.032583970461016
750000003,3,75103,3ème Ardt,Temple,750001537,11803.92,31.0,3207,1085.0,0.3383224197068912,6.6113898696895825
750000010,10,75110,10ème Ardt,Entrepôt,750001537,10610.91,29.1,2618,1018.5,0.3890374331550802,4.832057599478103
750000010,10,75110,10ème Ardt,Entrepôt,750001537,10000.0,29.9,2618,1046.5,0.3997326203208556,4.456817796387893
