annee,code_iris,code_commune,arrondissement,nom_commune,nom_iris,nom_quartier,code_quartier,prix_m2_median,loyer_m2_median,median_income_monthly_uc,loyer_theorique_35m2,taux_effort,score_affordability
2022,751135028,75113,13,Paris 13e Arrondissement,Gare 28,Gare,50,8517.72,21.0,2188,735.0,0.3359232175502742,5.286042075413066
2022,751155704,75115,15,Paris 15e Arrondissement,Saint-Lambert 4,Saint-Lambert,57,8385.74,23.9,2964,836.5,0.2822199730094467,7.447508336076694
2022,751207801,75120,20,Paris 20e Arrondissement,Saint-Fargeau 1,Saint-Fargeau,78,7261.4,21.0,1970,735.0,0.3730964467005076,3.789881437538336
2022,751155727,75115,15,Paris 15e Arrondissement,Saint-Lambert 27,Saint-Lambert,57,11085.71,23.9,2964,836.5,0.2822199730094467,7.447508336076694
2022,751176505,75117,17,Paris 17e Arrondissement,Ternes 5,Ternes,65,6707.32,26.5,3050,927.5,0.3040983606557377,6.566939626690308
2022,751093601,75109,9,Paris 9e Arrondissement,Rochechouart 1,Rochechouart,36,11756.76,25.5,3478,892.5,0.2566129959746981,8.47814656606518
2022,751145514,75114,14,Paris 14e Arrondissement,Petit Montrouge 14,Petit-Montrouge,55,11696.43,24.9,2603,871.5,0.33480599308490205,5.331008501708856
2022,751187101,75118,18,Paris 18e Arrondissement,Goutte d'Or 1,Goutte-d'Or,71,8119.47,24.5,2135,857.5,0.4016393442622951,2.64107729006306
2022,751187208,75118,18,Paris 18e Arrondissement,Chapelle 8,La Chapelle,72,5200.0,21.0,2135,735.0,0.3442622950819672,4.950408076314382
2022,751124613,75112,12,Paris 12e Arrondissement,Picpus 13,Picpus,46,10364.58,24.0,2657,840.0,0.316146029356417,6.082041002057409
2022,751207909,75120,20,Paris 20e Arrondissement,Père Lachaise 9,Père-Lachaise,79,9424.24,22.2,1970,777.0,0.39441624365482236,2.9317950743221077
2022,751052003,75105,5,Paris 5e Arrondissement,Sorbonne 3,Sorbonne,20,13030.3,28.1,3313,983.5,0.29686085119227285,6.858237343434778
2022,751187025,75118,18,Paris 18e Arrondissement,Clignancourt 25,Clignancourt,70,9065.57,24.0,2135,840.0,0.39344262295081966,2.9709816880989637
2022,751145503,75114,14,Paris 14e Arrondissement,Petit Montrouge 3,Petit-Montrouge,55,7461.54,24.9,2603,871.5,0.33480599308490205,5.331008501708856
2022,751104008,75110,10,Paris 10e Arrondissement,Hôpital Saint-Louis 8,Hôpital-Saint-Louis,40,10366.82,24.5,2618,857.5,0.32754010695187163,5.623448332200463
2022,751051702,75105,5,Paris 5e Arrondissement,Saint-Victor 2,Saint-Victor,17,13279.44,28.1,3313,983.5,0.29686085119227285,6.858237343434778
2022,751197519,75119,19,Paris 19e Arrondissement,Amérique 19,Amérique,75,5789.47,21.0,1887,735.0,0.38950715421303655,3.129377758380112
2022,751093401,75109,9,Paris 9e Arrondissement,Chaussée d'Antin 1,Chaussée-d'Antin,34,6865.38,29.1,3478,1018.5,0.29284071305347903,7.020041216264172
2022,751051803,75105,5,Paris 5e Arrondissement,Jardin des Plantes 3,Jardin-des-Plantes,18,12777.78,24.9,3313,871.5,0.26305463326290374,8.218881380489586
2022,751176809,75117,17,Paris 17e Arrondissement,Épinettes 9,Epinettes,68,9997.44,24.5,3050,857.5,0.28114754098360656,7.490671941190836
2022,751197513,75119,19,Paris 19e Arrondissement,Amérique 13,Amérique,75,9618.64,21.0,1887,735.0,0.38950715421303655,3.129377758380112
2022,751041303,75104,4,Paris 4e Arrondissement,Saint-Merri 3,Saint-Merri,13,13107.84,29.1,3004,1018.5,0.3390479360852197,5.1602773521621215
2022,751155908,75115,15,Paris 15e Arrondissement,Grenelle 8,Grenelle,59,10585.27,25.0,2964,875.0,0.29520917678812414,6.92471449074112
2022,751135124,75113,13,Paris 13e Arrondissement,Maison Blanche 24,Maison-Blanche,51,9817.11,24.5,2188,857.5,0.39191042047531993,3.0326502890115234
2022,751166377,75116,16,Paris 16e Arrondissement,Bois de Boulogne 3,Porte-Dauphine,63,11388.0,26.6,3926,931.0,0.23713703515028017,9.262021592163133
2022,751156001,75115,15,Paris 15e Arrondissement,Javel 1,Javel,60,9270.61,25.0,2964,875.0,0.29520917678812414,6.92471449074112
