quartier_code,quartier_insee,quartier_name,arrondissement,quartier_surface_m2,shops_count,food_stores_count,restaurants_count,loisir_count,pharmacies_count,colleges_count,schools_count,lycees_count,hospitals_count,green_spaces_count,sports_count,health_services,education_sites,sports_sites,local_life_sites,health_density,education_density,sport_density,vibrance_density,green_space_density,avg_noise_db
2,7510102,Halles,1,412458.49632967,1018,66,340,108,11,0,0,1,0,1,18,11,1,18,514,26.669350002207047,2.424486363837004,43.640754549066074,1246.1859910122203,2.424486363837004,41.61
3,7510103,Palais-Royal,1,273696.79330056,490,27,152,79,6,1,1,0,0,0,1,6,2,1,258,21.922069044525134,7.307356348175045,3.6536781740875224,942.6489689145808,0.0,41.61
4,7510104,Place-Vendôme,1,269456.78059945,466,21,92,47,4,0,3,0,0,0,10,4,3,10,160,14.844681180786603,11.133510885589953,37.11170295196651,593.7872472314641,0.0,41.61
1,7510101,Saint-Germain-l'Auxerrois,1,869000.66456395,199,12,66,36,0,0,2,0,2,2,0,2,2,0,114,2.301494212324413,2.301494212324413,0.0,131.18517010249155,2.301494212324413,41.61
8,7510204,Bonne-Nouvelle,2,281448.20657677,707,74,233,60,1,0,7,1,0,2,13,1,8,13,367,3.5530515975316126,28.4244127802529,46.18967076791097,1303.969936294102,7.106103195063225,40.86
5,7510201,Gaillon,2,188012.20385047,371,23,147,39,6,0,0,1,0,0,6,6,1,6,209,31.912822024957084,5.318803670826181,31.912822024957084,1111.6299672026719,0.0,40.86
7,7510203,Mail,2,278142.58508411,477,34,185,29,5,1,1,2,0,1,5,5,4,5,248,17.976391491752352,14.381113193401882,17.976391491752352,891.6290179909167,3.5952782983504705,40.86
6,7510202,Vivienne,2,243550.77062341,396,32,166,63,3,0,2,1,0,2,3,3,3,3,261,12.317760244900827,12.317760244900827,12.317760244900827,1071.645141306372,8.211840163267217,40.86
11,7510303,Archives,3,367728.38686733,523,25,60,133,3,2,5,3,0,8,3,3,10,3,218,8.158195307022483,27.193984356741613,8.158195307022483,592.8288589769671,21.75518748539329,41.5
9,7510301,Arts-et-Métiers,3,318087.74045393,575,59,145,87,6,1,3,2,0,2,5,6,6,5,291,18.862720051510458,18.862720051510458,15.718933376258715,914.8419224982572,6.287573350503486,41.5
10,7510302,Enfants-Rouges,3,271750.32393656,587,72,113,56,6,1,2,3,0,3,7,6,6,7,241,22.079090516192714,22.079090516192714,25.758938935558167,886.843469067074,11.039545258096357,41.5
12,7510304,Sainte-Avoie,3,213316.35151125,421,45,129,79,3,0,2,0,3,2,13,6,2,13,253,28.12723899266376,9.37574633088792,60.94235115077148,1186.031910857322,9.37574633088792,41.5
15,7510403,Arsenal,4,487264.93707154,404,47,95,66,5,2,6,3,0,3,5,5,11,5,208,10.261358081806536,22.57498777997438,10.261358081806536,426.87249620315185,6.156814849083921,40.88
16,7510404,Notre-Dame,4,378252.15367404,177,26,51,43,2,0,2,0,2,4,0,4,2,0,120,10.574956311939504,5.287478155969752,0.0,317.2486893581851,10.574956311939504,40.88
14,7510402,Saint-Gervais,4,422028.17132449,828,85,175,100,6,2,5,2,3,13,18,9,9,18,360,21.325590592103055,21.325590592103055,42.65118118420611,853.0236236841222,30.803630855259968,40.88
13,7510401,Saint-Merri,4,313040.39654987,517,46,166,64,9,1,3,0,1,2,29,10,4,29,276,31.944758919978284,12.777903567991313,92.63980086793703,881.6753461914006,6.388951783995656,40.88
18,7510502,Jardin-des-Plantes,5,798389.39846272,496,83,141,41,10,3,6,2,6,7,16,16,11,16,265,20.04034626562881,13.777738057619805,20.04034626562881,331.91823502447716,8.767651491212604,41.31
17,7510501,Saint-Victor,5,604156.07289651,565,70,183,90,8,1,9,0,0,4,22,8,10,22,343,13.241611495595071,16.55201436949384,36.414431612886446,567.7340928736387,6.620805747797536,41.31
20,7510504,Sorbonne,5,433197.79244055,705,61,275,191,5,1,4,4,3,6,21,8,9,21,527,18.46731479154036,20.775729140482905,48.47670132779344,1216.534361892721,13.85048609365527,41.31
19,7510503,Val-de-Grace,5,703631.1629235,581,91,186,79,18,2,6,4,3,1,18,21,12,18,356,29.845181831838733,17.05438961819356,25.581584427290345,505.94689200640903,1.4211991348494635,41.31
21,7510601,Monnaie,6,293360.5723113,565,43,178,185,4,1,2,1,0,1,4,4,4,4,406,13.635097479137018,13.635097479137018,13.635097479137018,1383.9623941324073,3.4087743697842545,41.5
23,7510603,Notre-Dame-des-Champs,6,861307.03782615,1144,124,208,118,16,6,8,11,1,3,43,17,25,43,450,19.737444666545677,29.025653921390703,49.92412474479201,522.4617705850327,3.4830784705668845,41.5
22,7510602,Odéon,6,716148.35103094,625,57,157,102,5,1,3,4,2,3,22,7,8,22,316,9.774511091065232,11.170869818360265,30.71989200049073,441.24935782523045,4.189076181885099,41.5
24,7510604,Saint-Germain-des-Prés,6,282279.93986392,595,26,74,153,6,1,2,0,0,4,0,6,3,0,253,21.25549553004882,10.62774776502441,0.0,896.2733948503918,14.170330353365879,41.5
27,7510703,Ecole-Militaire,7,807870.76658157,189,30,45,15,4,2,6,4,1,4,19,5,12,19,90,6.189108712470232,14.853860909928557,23.518613107386884,111.40395682446417,4.951286969976186,39.76
28,7510704,Gros-Caillou,7,1381893.27645234,855,133,184,98,16,4,9,6,3,5,16,19,19,16,415,13.74925279959222,13.74925279959222,11.578318147025026,300.3126269384616,3.618224420945321,39.76
26,7510702,Invalides,7,1073733.76894888,218,24,64,32,6,2,1,2,0,7,11,6,5,11,120,5.587977367866184,4.656647806555154,10.244625174421339,111.75954735732368,6.519306929177215,39.76
25,7510701,Saint-Thomas-d'Aquin,7,826559.43678046,801,63,91,125,9,0,5,1,2,6,8,11,6,8,279,13.308177864191125,7.259006107740613,9.678674810320818,337.5437840099385,7.259006107740613,39.76
29,7510801,Champs-Elysées,8,1140253.99187045,445,17,121,47,5,0,3,1,1,15,1,6,4,1,185,5.261985524959854,3.507990349973236,0.876997587493309,162.24455368626218,13.154963812399636,41.61
32,7510804,Europe,8,1182466.96498995,913,91,245,130,18,4,9,7,5,3,24,23,20,24,466,19.450860515325672,16.913791752457104,20.296550102948526,394.09134783225056,2.5370687628685658,41.61
30,7510802,Faubourg-du-Roule,8,796589.05165137,836,73,300,110,13,1,2,1,1,2,18,14,4,18,483,17.574933990088464,5.021409711453847,22.596343701542313,606.3352226580521,2.5107048557269236,41.61
31,7510803,Madeleine,8,760726.55813705,937,51,231,161,4,1,3,1,0,1,18,4,5,18,443,5.258131134261482,6.572663917826852,23.661590104176668,582.3380231194591,1.3145327835653704,41.61
34,7510902,Chaussée-d'Antin,9,543441.16771129,778,51,285,78,11,1,0,5,1,0,6,12,6,6,414,22.081507094021177,11.040753547010588,11.040753547010588,761.8119947437306,0.0,40.51
