arro,value,label,%
75013,177735,Ensemble,100
75013,23033,0 à 14 ans,13
75013,43444,15 à 29 ans,24.4
75013,35382,30 à 44 ans,19.9
75013,32630,45 à 59 ans,18.4
75013,27528,60 à 74 ans,15.5
75013,15718,75 ans ou plus,8.8
75012,139788,Ensemble,100
75012,18135,0 à 14 ans,13
75012,31980,15 à 29 ans,22.9
75012,30606,30 à 44 ans,21.9
75012,25899,45 à 59 ans,18.5
75012,20295,60 à 74 ans,14.5
75012,12874,75 ans ou plus,9.2
75011,156659,Ensemble,100
75011,20124,0 à 14 ans,10.7
75011,34828,15 à 29 ans,25.6
75011,30628,30 à 44 ans,25.1
75011,28828,45 à 59 ans,17.3
75011,20295,60 à 74 ans,14.5
75011,12874,75 ans ou plus,9.2
75010,81926,Ensemble,100
75010,10824,0 à 14 ans,13.2
75010,19760,15 à 29 ans,24.1
75010,21523,30 à 44 ans,26.3
75010,15330,45 à 59 ans,18.7
75010,9961,60 à 74 ans,12.1
75010,4529,75 ans ou plus,5.5
75009,58419,Ensemble,100
75009,7385,0 à 14 ans,12.6
75009,15655,15 à 29 ans,26.8
75009,14147,30 à 44 ans,24.2
75009,10680,45 à 59 ans,18.3
75009,7016,60 à 74 ans,12
75009,3536,75 ans ou plus,6.1
75008,35418,Ensemble,100
75008,4912,0 à 14 ans,13.9
75008,8858,15 à 29 ans,25
75008,6433,30 à 44 ans,18.2
75008,7102,45 à 59 ans,20.1
75008,5117,60 à 74 ans,14.4
75008,2996,75 ans ou plus,8.5
75007,48196,Ensemble,100
75007,5320,0 à 14 ans,11
75007,11816,15 à 29 ans,24.5
75007,7950,30 à 44 ans,16.5
75007,8908,45 à 59 ans,18.5
75007,8134,60 à 74 ans,16.9
75007,6067,75 ans ou plus,12.6
75006,40432,Ensemble,100
75006,3888,0 à 14 ans,9.6
75006,11213,15 à 29 ans,27.7
75006,6259,30 à 44 ans,15.5
75006,6820,45 à 59 ans,16.9
75006,6708,60 à 74 ans,16.6
75006,5544,75 ans ou plus,13.7
75005,55925,Ensemble,100
75005,5939,0 à 14 ans,10.6
75005,17507,15 à 29 ans,31.3
75005,9286,30 à 44 ans,16.6
75005,9316,45 à 59 ans,16.7
75005,8134,60 à 74 ans,14.5
75005,5742,75 ans ou plus,10.3
75004,28039,Ensemble,100
75004,3010,0 à 14 ans,10.7
75004,7281,15 à 29 ans,26
75004,5722,30 à 44 ans,20.4
75004,5489,45 à 59 ans,19.6
75004,4094,60 à 74 ans,14.6
75004,2442,75 ans ou plus,8.7
75003,32772,Ensemble,100
75003,3391,0 à 14 ans,10.4
75003,8547,15 à 29 ans,26.1
75003,7699,30 à 44 ans,23.5
75003,6397,45 à 59 ans,19.5
75003,4435,60 à 74 ans,13.5
75003,2304,75 ans ou plus,7.1
75002,20433,Ensemble,100
75002,2382,0 à 14 ans,11.7
75002,5718,15 à 29 ans,28
75002,5254,30 à 44 ans,25.7
75002,3830,45 à 59 ans,18.7
75002,2226,60 à 74 ans,10.9
75002,1023,75 ans ou plus,5
75001,15475,Ensemble,100
75001,1489,0 à 14 ans,9.6
75001,3639,15 à 29 ans,23.5
75001,3558,30 à 44 ans,23
75001,3094,45 à 59 ans,20
75001,2358,60 à 74 ans,15.2
75001,1337,75 ans ou plus,8.6
75014,137581,Ensemble,100
75014,17578,0 à 14 ans,12.8
75014,37936,15 à 29 ans,27.6
75014,26260,30 à 44 ans,19.1
75014,23296,45 à 59 ans,16.9
75014,19860,60 à 74 ans,14.4
75014,12651,75 ans ou plus,9.2
75015,228754,Ensemble,100
75015,29401,0 à 14 ans,12.8
75015,57907,15 à 29 ans,25.3
75015,47394,30 à 44 ans,20.7
75015,40217,45 à 59 ans,17.6
75015,31880,60 à 74 ans,13.9
75015,21954,75 ans ou plus,9.6
75016,159733,Ensemble,100
75016,21994,0 à 14 ans,13.8
75016,33953,15 à 29 ans,21.2
75016,26506,30 à 44 ans,16.6
75016,32001,45 à 59 ans,20
75016,26110,60 à 74 ans,16.3
75016,19169,75 ans ou plus,12
75017,161206,Ensemble,100
75017,23084,0 à 14 ans,14.3
75017,39320,15 à 29 ans,24.4
75017,36243,30 à 44 ans,22.5
75017,28736,45 à 59 ans,17.8
75017,21311,60 à 74 ans,13.2
75017,12512,75 ans ou plus,7.8
75018,185825,Ensemble,100
75018,24200,0 à 14 ans,13
75018,44847,15 à 29 ans,24.1
75018,48856,30 à 44 ans,26.3
75018,33107,45 à 59 ans,17.8
75018,23471,60 à 74 ans,12.6
75018,11344,75 ans ou plus,6.1
75019,178371,Ensemble,100
75019,27290,0 à 14 ans,15.3
75019,38740,15 à 29 ans,21.7
75019,40377,30 à 44 ans,22.6
75019,33135,45 à 59 ans,18.5
75019,26341,60 à 74 ans,14.7
75019,12487,75 ans ou plus,7
75020,187694,Ensemble,100
75020,26094,0 à 14 ans,13.9
75020,39480,15 à 29 ans,21.1
75020,42887,30 à 44 ans,22.8
75020,36832,45 à 59 ans,19.6
75020,28419,60 à 74 ans,15.1
75020,13982,75 ans ou plus,7.5
