objectid,nom,commune_name,postal_code,department_code,x_coord,y_coord,adresse_ua,denominati,patronyme
20,Collège Alberto Giacometti,PARIS,75014,75,649714.700000003,6859572.6045,7 rue DU CANGE,COLLEGE,ALBERTO GIACOMETTI
21,Collège Georges Clémenceau,PARIS,75018,75,652449.899999999,6865639.8045,43 rue DES POISSONNIERS,COLLEGE,GEORGES CLEMENCEAU
22,Collège Valmy,PARIS,75010,75,653673.200000003,6864806.9045,199 quai DE VALMY,COLLEGE,VALMY
23,Collège Jules Verne,PARIS,75012,75,655532.200000003,6859891.9045,20 RUE DE LA BRECHE AUX LOUPS,COLLEGE,JULES VERNE
24,Collège Edouard Pailleron,PARIS,75019,75,654434.299999997,6864760.3045,33 RUE EDOUARD PAILLERON,COLLEGE,EDOUARD PAILLERON
25,Collège Condorcet,PARIS,75008,75,650641.0,6864760.5045,61 RUE D'AMSTERDAM,COLLEGE,CONDORCET
26,Collège Guy Flavien,PARIS,75012,75,654918.5,6860768.0045,6 RUE D'ARTAGNAN,COLLEGE,GUY FLAVIEN
27,Collège Hector Berlioz,PARIS,75018,75,651083.399999999,6866406.6045,17 RUE GEORGETTE AGUTTE,COLLEGE,HECTOR BERLIOZ
28,Collège Antoine Coysevox,PARIS,75018,75,650859.600000001,6865941.8045,16 RUE COYSEVOX,COLLEGE,ANTOINE COYSEVOX
29,Collège Elsa Triolet,PARIS,75013,75,653202.299999997,6859228.2045,9 rue YEO THOMAS,COLLEGE,ELSA TRIOLET
30,Collège Charlemagne,PARIS,75004,75,653064.799999997,6861760.6045,13 rue Charlemagne,COLLEGE,CHARLEMAGNE
31,Collège Lavoisier,PARIS,75005,75,651508.899999999,6860460.0045,17 rue Henri Barbusse,COLLEGE,LAVOISIER
32,Collège Voltaire,PARIS,75011,75,654845.5,6862786.7045,101 avenue de la République,COLLEGE,VOLTAIRE
33,Collège François Villon,PARIS,75014,75,649035.399999999,6858699.4045,10 avenue MARC SANGNIER,COLLEGE,FRANCOIS VILLON
34,Collège François Couperin,PARIS,75004,75,652788.200000003,6861848.5045,2 allée DES JUSTES,COLLEGE,FRANCOIS COUPERIN
