objectid,nom,commune_code,commune_name,postal_code,department_code,x_coord,y_coord,adresse_ua,nature_u_1,patronyme,secteur_pu
23,Ecole primaire publique Rostropovitch (34),75117,PARIS,75017,75,649443.700000003,6865932.3045,34 rue MSTISLAV ROSTROPOVITCH,ECOLE DE NIVEAU ELEMENTAIRE,ROSTROPOVITCH,Public
24,Ecole maternelle publique Rostropovitch (56),75117,PARIS,75017,75,649443.700000003,6865932.3045,56 rue MSTISLAV ROSTROPOVITCH,ECOLE MATERNELLE,ROSTROPOVITCH,Public
26,Ecole primaire MICHEL BIZOT,75112,PARIS,75012,75,656219.700000003,6859853.1045,83 avenue du Général Bizot,ECOLE DE NIVEAU ELEMENTAIRE,MICHEL BIZOT,Public
27,Ecole primaire PAUL BAUDRY,75108,PARIS,75008,75,649196.899999999,6863813.3045,10 RUE PAUL BAUDRY,ECOLE DE NIVEAU ELEMENTAIRE,PAUL BAUDRY,Public
28,Ecole primaire A,75119,PARIS,75019,75,654102.5,6864607.4045,119 avenue Simon Bolivar,ECOLE DE NIVEAU ELEMENTAIRE,SIMON BOLIVAR EA,Public
29,Ecole primaire ST MAUR,75111,PARIS,75011,75,654661.200000003,6862430.8045,22 rue Saint Maur,ECOLE DE NIVEAU ELEMENTAIRE,ST MAUR,Public
30,Ecole primaire TRUFFAUT,75117,PARIS,75017,75,650319.299999997,6865204.3045,15 rue Truffaut,ECOLE DE NIVEAU ELEMENTAIRE,TRUFFAUT,Public
31,Ecole primaire CHABROL,75110,PARIS,75010,75,652546.200000003,6864282.1045,41 rue de Chabrol,ECOLE DE NIVEAU ELEMENTAIRE,CHABROL,Public
32,Ecole primaire TOURNELLES,75104,PARIS,75004,75,653572.200000003,6861864.3045,21 rue des Tournelles,ECOLE DE NIVEAU ELEMENTAIRE,TOURNELLES,Public
33,Ecole maternelle ALLERAY,75115,PARIS,75015,75,648870.399999999,6859853.7045,42 rue d'Alleray,ECOLE MATERNELLE,ALLERAY,Public
34,Ecole maternelle ANDRE BRECHET,75117,PARIS,75017,75,650648.0,6866749.6045,21 rue André Brechet,ECOLE MATERNELLE,ANDRE BRECHET,Public
35,Ecole maternelle ARMAND CARREL E,75119,PARIS,75019,75,654221.5,6864923.4045,47 rue Armand Carrel,ECOLE MATERNELLE,ARMAND CARREL E,Public
36,Ecole maternelle CHARLES HERMITE H,75118,PARIS,75018,75,653803.600000001,6866841.3045,2 rue Charles Hermite,ECOLE MATERNELLE,CHARLES HERMITE H,Public
37,Ecole maternelle COUR DES NOUES,75120,PARIS,75020,75,656030.5,6862867.5045,26 rue de la Cour des Noues,ECOLE MATERNELLE,COUR DES NOUES,Public
38,Ecole maternelle ESPERANCE,75113,PARIS,75013,75,652126.0,6858714.1045,12 rue de l'Espérance,ECOLE MATERNELLE,ESPERANCE,Public
39,Ecole maternelle JOURDAIN,75120,PARIS,75020,75,655228.899999999,6864005.7045,4 rue du Jourdain,ECOLE MATERNELLE,JOURDAIN,Public
40,Ecole maternelle MIOLLIS,75115,PARIS,75015,75,648807.899999999,6860822.2045,33 rue Miollis,ECOLE MATERNELLE,MIOLLIS,Public
41,Ecole maternelle PICPUS F,75112,PARIS,75012,75,655716.899999999,6860563.7045,56 rue de Picpus,ECOLE MATERNELLE,PICPUS F,Public
42,Ecole maternelle SOMMERARD,75105,PARIS,75005,75,652071.100000001,6861298.6045,10 rue DU SOMMERARD,ECOLE MATERNELLE,SOMMERARD,Public
43,Ecole maternelle d'application VANDREZANNE H,75113,PARIS,75013,75,652513.0,6858836.2045,40 rue Vandrezanne,ECOLE MATERNELLE D APPLICATION,VANDREZANNE H,Public
44,Ecole maternelle CUJAS,75105,PARIS,75005,75,651704.799999997,6861091.4045,23 rue Cujas,ECOLE MATERNELLE,CUJAS,Public
45,Ecole primaire Colette Magny B,75119,PARIS,75019,75,654241.0,6866303.5045,17 rue Colette Magny,ECOLE DE NIVEAU ELEMENTAIRE,COLETTE MAGNY B,Public
46,Ecole maternelle MOUFFETARD M,75105,PARIS,75005,75,652270.0,6860352.4045,97 rue Mouffetard,ECOLE MATERNELLE,MOUFFETARD M,Public
47,Ecole maternelle SURMELIN,75120,PARIS,75020,75,656240.799999997,6863269.4045,18 rue du Surmelin,ECOLE MATERNELLE,SURMELIN,Public
