objectid,commune_code,postal_code,x_coord,y_coord,adresse_ua,appellatio,denominati,etat_eta_1,libelle_de,numero_uai,secteur_pu
3,75116,75016,646860.300042,6863182.90453,8 RUE BENJAMIN GODARD,IPECOM Prépa Sciences (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0753377N,Privé
5,75106,75006,651628.500038,6861664.40453,2 RUE DE L'EPERON,Lycée général Fénelon,LYCEE GENERAL,OUVERT,Paris,0750660K,Public
6,75109,75009,651847.200038,6864807.40453,12 AVENUE TRUDAINE,Lycée général Jacques Decour,LYCEE GENERAL,OUVERT,Paris,0750668U,Public
7,75109,75009,651587.200038,6864784.50453,63 rue DES MARTYRS,Lycée polyvalent Edgar Quinet,LYCEE POLYVALENT,OUVERT,Paris,0750671X,Public
8,75103,75003,653198.400037,6862975.80453,11 RUE DUPETIT THOUARS,Lycée technologique Duperré Ecole Supérieure des Arts Appliqués,LYCEE TECHNOLOGIQUE,OUVERT,Paris,0750672Y,Public
9,75110,75010,652325.700037,6864524.80453,12 rue D'ABBEVILLE,Lycée technologique Jules Siegfried,LYCEE TECHNOLOGIQUE,OUVERT,Paris,0750674A,Public
10,75112,75012,655344.400035,6860917.50453,9 rue PIERRE BOURDAN,"Lycée Polyvalent Boulle - Lycée des métiers d'art, d'architecture intérieure et du design",LPO LYCEE DES METIERS,OUVERT,Paris,0750681H,Public
11,75113,75013,653186.500037,6858786.40453,1 rue DU DOCTEUR MAGNAN,Lycée général Claude Monet,LYCEE GENERAL,OUVERT,Paris,0750683K,Public
12,75118,75018,652025.000038,6866780.00453,9 RUE FRANCIS DE CROISSET,Lycée général et technologique Rabelais,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750688R,Public
13,75115,75015,648128.800041,6861121.00453,24 rue FONDARY,Lycée général et technologique Roger Verlomme,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750696Z,Public
14,75111,75011,655446.300035,6861517.00453,18 passage TURQUETIL,Lycée Professionnel Turquetil - Lycée des métiers de la mode,LP LYCEE DES METIERS,OUVERT,Paris,0750778N,Public
15,75112,75012,655344.400035,6860917.50453,9 rue PIERRE BOURDAN,Lycée professionnel Métiers de l'Ameublement,LYCEE PROFESSIONNEL,OUVERT,Paris,0750784V,Public
16,75115,75015,647558.700041,6859929.80453,319 rue LECOURBE,Lycée polyvalent Louis Armand,LYCEE POLYVALENT,OUVERT,Paris,0751708Z,Public
17,75101,75001,651961.800038,6862443.50453,35 rue DES BOURDONNAIS,Lycée professionnel Pierre Lescot,LYCEE PROFESSIONNEL,OUVERT,Paris,0752388N,Public
18,75103,75003,653305.100037,6862622.80453,28 rue DEBELLEYME,Lycée polyvalent François Truffaut,LYCEE POLYVALENT,OUVERT,Paris,0752701D,Public
19,75113,75013,652529.000037,6859550.70453,48 avenue DES GOBELINS,Lycée polyvalent Jean Lurçat,LYCEE POLYVALENT,OUVERT,Paris,0753268V,Public
20,75120,75020,655512.500035,6863078.00453,23 rue de la Bidassoa,Lycée polyvalent Martin Nadaud,LYCEE POLYVALENT,OUVERT,Paris,0754530S,Public
21,75119,75019,655280.400035,6865038.20453,40 RUE MANIN,Lycée général Georges Brassens,LYCEE GENERAL,OUVERT,Paris,0754684J,Public
22,75114,75014,649553.200039,6858512.00453,5 bis avenue MAURICE D OCAGNE,Section d'enseignement professionnel du Lycée polyvalent Raspail,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0754883A,Public
23,75115,75015,647558.700041,6859929.80453,319 rue LECOURBE,Section d'enseignement professionnel du Lycée polyvalent Louis Armand,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0754887E,Public
24,75115,75015,648780.80004,6860040.80453,20 rue BOURSEUL,Section d'enseignement professionnel du Lycée polyvalent Léonard de Vinci,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0754888F,Public
25,75119,75019,655522.300035,6865529.80453,22 sente DES DOREES,Section d'enseignement professionnel du Lycée polyvalent D'Alembert,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0754889G,Public
26,75120,75020,655512.500035,6863078.00453,23 rue DE LA BIDASSOA,Section d'enseignement professionnel du Lycée polyvalent Martin Nadaud,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0754891J,Public
29,75105,75005,651513.700038,6860281.40453,28 RUE PIERRE NICOLE,Collège Sévigné (Ecole secondaire privée),LYCEE GENERAL PRIVE,OUVERT,Paris,0753598D,Privé
31,75103,75003,653341.100037,6862556.70453,7 rue de Poitou,Lycée général et technologique Simone Weil,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750651A,Public
32,75111,75011,654174.300036,6863272.50453,145 rue SAINT MAUR,ECOLE GEN.ET TECHNOL. PRIVEE BETH SEFER YAD MORDEKHAI,ECOLE GEN.ET TECHNOL. PRIVEE,OUVERT,Paris,0753372H,Privé
33,75106,75006,650521.900039,6860961.00453,108 rue de Vaugirard,Lycée polyvalent privé Saint-Nicolas,LYCEE POLYVALENT PRIVE,OUVERT,Paris,0754025T,Privé
34,75106,75006,650521.900039,6860961.00453,92 rue DE VAUGIRARD,Section d'enseignement professionnel du Lycée polyvalent privé Saint Nicolas,SECTION ENSEIGT PROFES.PRIVEE,OUVERT,Paris,0754915K,Privé
35,75117,75017,647953.300041,6864414.40453,12 rue du Colonel Moll,Institut Privé d'Etudes Secondaires du Collège Latin,ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0755670F,Privé
36,75116,75016,647068.000041,6862223.60453,56 rue de Passy,Lycée Kingsworth International School,ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0755772S,Privé
37,75107,75007,649309.50004,6862341.50453,11 rue de la Comète,Cours du Pont de Pierre,ECOLE 2D DEGRE GENERAL PRIVEE,OUVERT,Paris,0755801Y,Privé
38,75109,75009,650628.800039,6863879.00453,32 rue Tronchet,Etablissement d'enseignement technique Institut Santé,ECOLE 2D DEGRE PROF.PRIVEE,OUVERT,Paris,0755904K,Privé
55,75114,75014,650378.300039,6858564.10453,19 rue FRIANT,Lycée polyvalent Lucas de Nehou - Lycée des métiers des arts du verre et des structures verrières,LPO LYCEE DES METIERS,OUVERT,Paris,0750463W,Public
56,75116,75016,645968.100042,6860234.70453,185 avenue de Versailles,Lycée professionnel René Cassin - Lycée des métiers de la communication de la gestion et du management d'entreprise,LP LYCEE DES METIERS,OUVERT,Paris,0750588G,Public
57,75119,75019,655522.300035,6865529.80453,22 sente DES DOREES,Lycée polyvalent d'Alembert - Lycée des métiers de la mode,LPO LYCEE DES METIERS,OUVERT,Paris,0750650Z,Public
58,75107,75007,649724.200039,6861579.30453,33 BOULEVARD DES INVALIDES,Lycée général Victor Duruy,LYCEE GENERAL,OUVERT,Paris,0750662M,Public
59,75108,75008,650293.500039,6864261.50453,20 rue DU ROCHER,Lycée général et technologique Racine,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750664P,Public
60,75110,75010,653314.900037,6864930.40453,27 rue DE CHATEAU LANDON,Lycée général Colbert,LYCEE GENERAL,OUVERT,Paris,0750673Z,Public
61,75112,75012,656657.000034,6859781.30453,20 avenue ARMAND ROUSSEAU,Lycée polyvalent Elisa Lemonnier,LYCEE POLYVALENT,OUVERT,Paris,0750677D,Public
62,75112,75012,656635.500034,6860138.20453,38 boulevard SOULT,Lycée général Paul Valéry,LYCEE GENERAL,OUVERT,Paris,0750679F,Public
63,75113,75013,652461.900037,6859163.40453,18 BOULEVARD AUGUSTE BLANQUI,Ecole Estienne Ecole supérieure des Arts et Industries Graphiques,LYCEE TECHNOLOGIQUE,OUVERT,Paris,0750686N,Public
64,75116,75016,647139.800041,6863076.70453,106 rue DE LA POMPE,Lycée général Janson de Sailly,LYCEE GENERAL,OUVERT,Paris,0750699C,Public
65,75116,75016,645440.700043,6860828.40453,1 place DE LA PORTE MOLITOR,Lycée général Jean de La Fontaine,LYCEE GENERAL,OUVERT,Paris,0750702F,Public
66,75117,75017,649240.90004,6865163.60453,145 BOULEVARD MALESHERBES,Lycée général Carnot,LYCEE GENERAL,OUVERT,Paris,0750704H,Public
67,75119,75019,654378.100036,6864746.30453,27 RUE EDOUARD PAILLERON,Lycée général et technologique Henri Bergson,LYCEE GENERAL ET TECHNOLOGIQUE,OUVERT,Paris,0750711R,Public
68,75110,75010,653601.900036,6864237.80453,7 rue DES ECLUSES ST MARTIN,Lycée professionnel Gustave Ferrié,LYCEE PROFESSIONNEL,OUVERT,Paris,0750775K,Public
69,75112,75012,653775.200036,6860992.70453,33 avenue LEDRU ROLLIN,Lycée professionnel Chennevière Malezieux,LYCEE PROFESSIONNEL,OUVERT,Paris,0750783U,Public
70,75111,75011,654040.200036,6861872.10453,39 rue de la Roquette,Lycée professionnel Marcel Deprez,LP LYCEE DES METIERS,OUVERT,Paris,0750788Z,Public
71,75120,75020,655012.800035,6863364.90453,7 RUE D'EUPATORIA,Lycée professionnel Etienne Dolet,LYCEE PROFESSIONNEL,OUVERT,Paris,0750808W,Public
72,75113,75013,654207.000036,6858215.90453,13 avenue BOUTROUX,"Lycée Professionnel N.L Vauquelin - Lycée des métiers des procédés chimiques, des biotechnologies et de l'eau",LP LYCEE DES METIERS,OUVERT,Paris,0751710B,Public
73,75118,75018,652048.500038,6865962.40453,7 RUE FERDINAND FLOCON,Lycée professionnel Suzanne Valadon,LYCEE PROFESSIONNEL,OUVERT,Paris,0752109K,Public
74,75112,75012,653956.600036,6861425.80453,49 rue DE CHARENTON,Lycée professionnel Théophile Gautier,LYCEE PROFESSIONNEL,OUVERT,Paris,0752845K,Public
75,75115,75015,648018.200041,6859653.80453,393 RUE DE VAUGIRARD,Lycée autogéré,ETABLISSEMENT EXPERIMENTAL,OUVERT,Paris,0754401B,Public
76,75103,75003,653305.100037,6862622.80453,28 rue DEBELLEYME,Section d'enseignement professionnel du Lycée polyvalent François Truffaut,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0754873P,Public
77,75106,75006,650987.100038,6861522.10453,5 RUE MADAME,Section d'enseignement professionnel du Lycée polyvalent Maximilien Vox,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0754876T,Public
78,75112,75012,656657.000034,6859781.30453,20 avenue ARMAND ROUSSEAU,Section d'enseignement professionnel du Lycée polyvalent Elisa Lemonnier,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0754879W,Public
79,75113,75013,653777.500036,6858867.20453,121 rue DE PATAY,Section d'enseignement professionnel du Lycée polyvalent Jean Lurçat,SECTION ENSEIGNT PROFESSIONNEL,OUVERT,Paris,0754882Z,Public
