postal_code,latitude,longitude,coordinates,compvoie,lieuditbp,numvoie,rs,typvoie,voie
75002,48.8705035,2.3425562,"48.8705035,2.3425562",,,151.0,PHARMACIE DES PANORAMAS,RUE,MONTMARTRE
75004,48.8573751,2.3524425,"48.8573751,2.3524425",,,26.0,PHARMACIE DU VILLAGE,RUE,DU TEMPLE
75004,48.8538366,2.3672793,"48.8538366,2.3672793",,,1.0,MA PHARMACIE BASTILLE,RUE,DES TOURNELLES
75006,48.8527156,2.3333908,"48.8527156,2.3333908",,49 RUE BONAPARTE,26.0,CITY PHARMA,RUE,DU FOUR
75009,48.8819985,2.3461114,"48.8819985,2.3461114",,,2.0,PHARMACIE D ANVERS,AVENUE,TRUDAINE
75010,48.8701362,2.3707725,"48.8701362,2.3707725",,,137.0,PHARMACIE COHEN TOMASINI,AVENUE,PARMENTIER
75011,48.8565982,2.3792611,"48.8565982,2.3792611",,,97.0,PHARMACIE ALLOUCHE,AVENUE,LEDRU ROLLIN
75018,48.8959724,2.3464176,"48.8959724,2.3464176",,ANCT 51 BD ORNANO,5.0,GRANDE PHARMACIE PARIS ORNANO,PL,ALBERT KAHN
75001,48.8639822,2.3355945,"48.8639822,2.3355945",,,2.0,PHARMACIE DU THEATRE FRANCAIS,PL,ANDRE MALRAUX
75005,48.8460462,2.3413186,"48.8460462,2.3413186",,,11.0,SELARL PHARMACIE DES FACULTES,RUE,GAY LUSSAC
75005,48.8440466,2.3524759,"48.8440466,2.3524759",,,65.0,PHARMACIE DE L OLIVIER,RUE,MONGE
75008,48.8756522,2.3142456,"48.8756522,2.3142456",,,1.0,PHARMACIE NOCA,AVENUE,DE MESSINE
75011,48.8591443,2.3794671,"48.8591443,2.3794671",,,97.0,PHARM DES CLINIQUES,AVENUE,PARMENTIER
75012,48.8391951,2.3956606,"48.8391951,2.3956606",,,6.0,GRANDE PHARMACIE DAUMESNIL,PL,FELIX EBOUE
75015,48.837607,2.2973302,"48.837607,2.2973302",,,333.0,PHARMACIE DE LA CONVENTION,RUE,DE VAUGIRARD
75016,48.8481247,2.271359,"48.8481247,2.271359",,,14.0,PHARM REMUSAT,RUE,DE REMUSAT
75017,48.8849116,2.3156517,"48.8849116,2.3156517",,,48.0,PHARMACIE BATIGNOLLES MONCEAU,RUE,LEGENDRE
75017,48.8899743,2.319188,"48.8899743,2.319188",,,37.0,PHARM NAHUM,RUE,BROCHANT
75020,48.8566263,2.3952302,"48.8566263,2.3952302",,,6.0,PHARMACIE ALEXANDRE DUMAS,RUE,DE BAGNOLET
75020,48.8698336,2.402596,"48.8698336,2.402596",,,147.0,PHARM UZAN,AVENUE,GAMBETTA
75003,48.8624682,2.3635794,"48.8624682,2.3635794",,,10.0,PHARMACIE DE BRETAGNE,RUE,DE BRETAGNE
75007,48.8561283,2.3260425,"48.8561283,2.3260425",,,41.0,PHARMACIE BAC MONTALEMBERT,RUE,DU BAC
75008,48.867300150000005,2.30340332,"48.867300150000005,2.30340332",,11 RUE CLEMENT MAROT,13.0,PHARMACIE EUROPEENNE,RUE,DE LA TREMOILLE
75012,48.8498918,2.3841506,"48.8498918,2.3841506",,,29.0,PHARM DANJOU,RUE,CHALIGNY
75012,48.83522093,2.4015292500000003,"48.83522093,2.4015292500000003",,,58.0,PHARMACIE 58,AVENUE,DU GAL MICHEL BIZOT
75012,48.8367071,2.4040102,"48.8367071,2.4040102",,,257.0,PHARMACIE 257 DAUMESNIL,AVENUE,DAUMESNIL
75015,48.847009240000006,2.30524868,"48.847009240000006,2.30524868",,,50.0,MME CHRISTINE FAVAL BEN ALI,AVENUE,DE SEGUR
