adresse_complete,latitude,longitude,coordinates,categorie_de_l_etablissement,complement_adresse,cp_ville,num_cat,num_fax,num_tel,participant_service_public_hospitalier,raison_sociale,raison_sociale_entite_juridique,type_etablissement
28 R POUCHET,48.8929775,2.3196396,"48.8929775,2.3196396",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75017 PARIS,292,153063758,153063757,Etablissement public de santé,HOPITAL DE JOUR POUCHET,HOPITAL DE JOUR ADULTES PERRAY VAUCLUSE 75 G 20,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
39 R VARENNE,48.8541419,2.3231585,"48.8541419,2.3231585",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75007 PARIS,292,145492976,142222183,Etablissement public de santé,CENTRE VARENNE,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
26 BD BRUNE,48.8270097,2.3077751,"48.8270097,2.3077751",Centre Médico-Psychologique (C.M.P.),,75014 PARIS,156,145390010,140443912,Etablissement de santé privé d’intérêt collectif,CMP ENFANTS - A.D.H.M.I,CENTRE MEDICO-PSYCHOLOGIQUE ENFANTS DE L'A.D.H.M.I (75/I/08),Autres Etablissements de Lutte contre les Maladies Mentales
QU DE LA RAPEE,48.8408083,2.3881833,"48.8408083,2.3881833",Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.),,75012 PARIS,425,,,Etablissement public de santé,CENTRE DE JOUR-CATTP,HOPITAL DE JOUR - CATTP,Autres Etablissements de Lutte contre les Maladies Mentales
146 AV DE SAINT-OUEN,48.8968974,2.3290195,"48.8968974,2.3290195",Maison de Santé pour Maladies Mentales,,75018 PARIS,161,142299143,146278031,"Etab de santé privé non lucratif, non déclar intérêt collect","HOPITAL DE JOUR "" L'ETINCELLE""",,Autres Etablissements de Lutte contre les Maladies Mentales
9 SENTE DES DOREES,48.8870974,2.393777,"48.8870974,2.393777",Etablissement de Soins Pluridisciplinaire,,75019 PARIS,365,142036123,144845444,Etablissement de santé privé d’intérêt collectif,HÔPITAL JEAN JAURÈS,,Etablissements de Soins de Courte Durée
31 R LA BRÈCHE AUX LOUPS,48.8380814,2.3948933,"48.8380814,2.3948933",Centre Hospitalier Spécialisé lutte Maladies Mentales,,75012 PARIS,292,143461919,143465373,Etablissement public de santé,CENTRE LA BRECHE AUX LOUPS,,Centres Hospitaliers Spécialisés Lutte Maladies Mentales
15 SQ DES CARDEURS,48.8585006,2.4072562,"48.8585006,2.4072562",Centre Médico-Psychologique (C.M.P.),,75020 PARIS,156,,143796355,Etablissement public de santé,CMP ENFANTS AP-HP ROBERT DEBRE 75I12,CENTRE MÉDICO PSYCHOLOGIQUE AP-HP ROBERT DEBRE 75/I/14,Autres Etablissements de Lutte contre les Maladies Mentales
14 R VESALE,48.837893,2.3521788,"48.837893,2.3521788",Centre Hospitalier Régional (C.H.R.),,75005 PARIS,101,155436803,155436800,Etablissement public de santé,HOSPITALISATION A DOMICILE AP- HP,HOSPITALISATION A DOMICILE DE L'A.P.-H.P.,Centres Hospitaliers Régionaux
110 R LEMERCIER,48.8900596,2.3175448,"48.8900596,2.3175448",Centre Postcure Malades Mentaux,,75017 PARIS,430,,142268445,Etablissement public de santé,CENTRE DE POST CURE LEMERCIER,,Autres Etablissements de Lutte contre les Maladies Mentales
