arrondissement,,label,value
75013,100.0,Ensemble,177735
75013,13.0,0 à 14 ans,23033
75013,24.4,15 à 29 ans,43444
75013,19.9,30 à 44 ans,35382
75013,18.4,45 à 59 ans,32630
75013,15.5,60 à 74 ans,27528
75013,8.8,75 ans ou plus,15718
75012,100.0,Ensemble,139788
75012,13.0,0 à 14 ans,18135
75012,22.9,15 à 29 ans,31980
75012,21.9,30 à 44 ans,30606
75012,18.5,45 à 59 ans,25899
75012,14.5,60 à 74 ans,20295
75012,9.2,75 ans ou plus,12874
75011,100.0,Ensemble,156659
75011,10.7,0 à 14 ans,20124
75011,25.6,15 à 29 ans,34828
75011,25.1,30 à 44 ans,30628
75011,17.3,45 à 59 ans,28828
75011,14.5,60 à 74 ans,20295
75011,9.2,75 ans ou plus,12874
75010,100.0,Ensemble,81926
75010,13.2,0 à 14 ans,10824
75010,24.1,15 à 29 ans,19760
75010,26.3,30 à 44 ans,21523
75010,18.7,45 à 59 ans,15330
75010,12.1,60 à 74 ans,9961
75010,5.5,75 ans ou plus,4529
75009,100.0,Ensemble,58419
75009,12.6,0 à 14 ans,7385
75009,26.8,15 à 29 ans,15655
75009,24.2,30 à 44 ans,14147
75009,18.3,45 à 59 ans,10680
75009,12.0,60 à 74 ans,7016
75009,6.1,75 ans ou plus,3536
75008,100.0,Ensemble,35418
75008,13.9,0 à 14 ans,4912
75008,25.0,15 à 29 ans,8858
75008,18.2,30 à 44 ans,6433
75008,20.1,45 à 59 ans,7102
75008,14.4,60 à 74 ans,5117
75008,8.5,75 ans ou plus,2996
75007,100.0,Ensemble,48196
75007,11.0,0 à 14 ans,5320
75007,24.5,15 à 29 ans,11816
75007,16.5,30 à 44 ans,7950
75007,18.5,45 à 59 ans,8908
75007,16.9,60 à 74 ans,8134
75007,12.6,75 ans ou plus,6067
75006,100.0,Ensemble,40432
75006,9.6,0 à 14 ans,3888
75006,27.7,15 à 29 ans,11213
75006,15.5,30 à 44 ans,6259
75006,16.9,45 à 59 ans,6820
75006,16.6,60 à 74 ans,6708
75006,13.7,75 ans ou plus,5544
75005,100.0,Ensemble,55925
75005,10.6,0 à 14 ans,5939
75005,31.3,15 à 29 ans,17507
75005,16.6,30 à 44 ans,9286
75005,16.7,45 à 59 ans,9316
75005,14.5,60 à 74 ans,8134
75005,10.3,75 ans ou plus,5742
75004,100.0,Ensemble,28039
75004,10.7,0 à 14 ans,3010
75004,26.0,15 à 29 ans,7281
75004,20.4,30 à 44 ans,5722
75004,19.6,45 à 59 ans,5489
75004,14.6,60 à 74 ans,4094
75004,8.7,75 ans ou plus,2442
75003,100.0,Ensemble,32772
75003,10.4,0 à 14 ans,3391
75003,26.1,15 à 29 ans,8547
75003,23.5,30 à 44 ans,7699
75003,19.5,45 à 59 ans,6397
75003,13.5,60 à 74 ans,4435
75003,7.1,75 ans ou plus,2304
75002,100.0,Ensemble,20433
75002,11.7,0 à 14 ans,2382
75002,28.0,15 à 29 ans,5718
75002,25.7,30 à 44 ans,5254
75002,18.7,45 à 59 ans,3830
75002,10.9,60 à 74 ans,2226
75002,5.0,75 ans ou plus,1023
75001,100.0,Ensemble,15475
75001,9.6,0 à 14 ans,1489
75001,23.5,15 à 29 ans,3639
75001,23.0,30 à 44 ans,3558
75001,20.0,45 à 59 ans,3094
75001,15.2,60 à 74 ans,2358
75001,8.6,75 ans ou plus,1337
75014,100.0,Ensemble,137581
75014,12.8,0 à 14 ans,17578
75014,27.6,15 à 29 ans,37936
75014,19.1,30 à 44 ans,26260
75014,16.9,45 à 59 ans,23296
75014,14.4,60 à 74 ans,19860
75014,9.2,75 ans ou plus,12651
75015,100.0,Ensemble,228754
75015,12.8,0 à 14 ans,29401
75015,25.3,15 à 29 ans,57907
75015,20.7,30 à 44 ans,47394
75015,17.6,45 à 59 ans,40217
75015,13.9,60 à 74 ans,31880
75015,9.6,75 ans ou plus,21954
75016,100.0,Ensemble,159733
75016,13.8,0 à 14 ans,21994
75016,21.2,15 à 29 ans,33953
75016,16.6,30 à 44 ans,26506
75016,20.0,45 à 59 ans,32001
75016,16.3,60 à 74 ans,26110
75016,12.0,75 ans ou plus,19169
75017,100.0,Ensemble,161206
75017,14.3,0 à 14 ans,23084
75017,24.4,15 à 29 ans,39320
75017,22.5,30 à 44 ans,36243
75017,17.8,45 à 59 ans,28736
75017,13.2,60 à 74 ans,21311
75017,7.8,75 ans ou plus,12512
75018,100.0,Ensemble,185825
75018,13.0,0 à 14 ans,24200
75018,24.1,15 à 29 ans,44847
75018,26.3,30 à 44 ans,48856
75018,17.8,45 à 59 ans,33107
75018,12.6,60 à 74 ans,23471
75018,6.1,75 ans ou plus,11344
75019,100.0,Ensemble,178371
75019,15.3,0 à 14 ans,27290
75019,21.7,15 à 29 ans,38740
75019,22.6,30 à 44 ans,40377
75019,18.5,45 à 59 ans,33135
75019,14.7,60 à 74 ans,26341
75019,7.0,75 ans ou plus,12487
75020,100.0,Ensemble,187694
75020,13.9,0 à 14 ans,26094
75020,21.1,15 à 29 ans,39480
75020,22.8,30 à 44 ans,42887
75020,19.6,45 à 59 ans,36832
75020,15.1,60 à 74 ans,28419
75020,7.5,75 ans ou plus,13982
