commune_name,postal_code,adresse,latitude,longitude,coordinates,accessibilite_de_l_installation_en_faveur_des_personnes_en_situation_de_handicap,accessibilite_de_l_installation_en_transport_en_commun_des_differents_mode,activites,departement_code,nom_de_l_equipement_sportif,nom_de_l_installation_sportive,types_d_amenagements_de_confort
Paris 16e Arrondissement,75016,ROUTE DES MOULINS BOIS DE BOULOGNE,48.8680956691,2.23527853478,"48.8680956691, 2.23527853478",False,Bus,Tennis,75,COURT DE TENNIS N°17,POLO DE PARIS,Sauna
Paris 16e Arrondissement,75016,106 RUE DE LA POMPE,48.8655,2.27945,"48.8655, 2.27945",False,,Lancer,75,ZONE DE LANCER DE POIDS 2,CITE SCOLAIRE JANSON DE SAILLY,
Paris 20e Arrondissement,75020,72 RUE LOUIS LUMIERE,48.863183,2.412156,"48.863183, 2.412156",True,"Métro,Bus,Tramway","Handball / Mini hand / Handball de plage,Tennis",75,COURT DE TENNIS N°4,CENTRE SPORTIF DE LA PORTE DE BAGNOLET,
Paris 5e Arrondissement,75005,19 rue de pontoise,48.8491,2.35181,"48.8491, 2.35181",True,"Métro,Bus",Squash,75,COURT DE SQUASH 3,ESPACE SPORTIF PONTOISE,Sauna
Paris 19e Arrondissement,75019,27 RUE EDOUARD PAILLERON,48.8812,2.3784,"48.8812, 2.3784",True,,"Activités de forme et de santé,Aikido / Aikibudo / Budo,Gymnastique Artistique,Gymnastique Rythmique,Hockey en salle / Hockey sur gazon,Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...,Lutte traditionnelle / olympique libre / olympique gréco-romaine / bretonne / féminine",75,GYMNASE 610 ET 620 2,COLLEGE-LYCEE BERGSON,
Paris 12e Arrondissement,75012,11 Avenue du Tremblay,48.83148,2.45054,"48.83148, 2.45054",True,Bus,Cyclisme en salle,75,VELODROME STADE JOSEPH MAIGROT,INSEP,Bain(s) bouillonnant(s)
Paris 18e Arrondissement,75018,2 RUE JEAN COCTEAU,48.90035,2.35075,"48.90035, 2.35075",True,"Métro,Bus",Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley,75,TERRAIN DE VOLLEY-BALL,CENTRE SPORTIF DES POISSONNIERS,
Paris 14e Arrondissement,75014,7 avenue paul appell,48.820259,2.326816,"48.820259, 2.326816",False,"Métro,Bus",Tennis,75,COURT DE TENNIS COUVERT 7,CENTRE SPORTIF ELISABETH,
Paris 5e Arrondissement,75005,23 RUE CLOVIS,48.846346,2.347623,"48.846346, 2.347623",True,"Bus,Métro",Basket-Ball,75,TERRAIN DE BASKET-BALL,LYCEE HENRI IV,
Paris 6e Arrondissement,75006,22 Rue Notre-Dame des Champs,48.84535,2.32716,"48.84535, 2.32716",True,"Bus,Métro","Badminton,Jeu de volant,Basket-Ball,Tennis de table,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley",75,GYMNASE G3,COLLEGE STANISLAS,
Paris 18e Arrondissement,75018,56 RUE D'AUBERVILLIERS,48.88895,2.36676,"48.88895, 2.36676",True,"Métro,Bus","Football / Football en salle (Futsal),Handball / Mini hand / Handball de plage",75,2 TERRAINS DE HANDBALL 2,LES JARDINS D'EOLE,
Paris 20e Arrondissement,75020,81 RUE DE LAGNY,48.849170208,2.4088704586,"48.849170208, 2.4088704586",True,"Métro,Bus",Musculation,75,SALLE DE MUSCULATION LIBRE,NEONESS PARIS NATION,
Paris 20e Arrondissement,75020,63-65 RUE DE BAGNOLET,48.8574,2.39914,"48.8574, 2.39914",True,,"Activités de forme et de santé,Danses par Couple (Danses de compétition)",75,STUDIO 1,CMG SPORT CLUB ONE BAGNOLET,Sauna
Paris 13e Arrondissement,75013,5 place paul verlaine,48.82722,2.35257,"48.82722, 2.35257",True,"Métro,Bus",Activités de forme et de santé,75,SALLE DE FITNESS,PISCINE MUNICIPALE DE LA BUTTES AUX CAILLES,
Paris 15e Arrondissement,75015,4 RUE LOUIS ARMAND,48.8309901953,2.27659821488,"48.8309901953, 2.27659821488",True,"Métro,Bus,Tramway",Tennis,75,COURT DE TENNIS 5,FOREST HILL AQUABOULEVARD,Bain(s) de vapeur / hammam;Bain(s) bouillonnant(s);Sauna;Solarium
Paris 13e Arrondissement,75013,1 RUE DU DOCTEUR MAGNAN,48.82668,2.36282,"48.82668, 2.36282",True,,"Activités de forme et de santé,Autres Danses,Boxe Anglaise,Gymnastique Artistique",75,SALLE DE JUDO,COLLEGE - LYCEE CLAUDE MONET,
Paris 8e Arrondissement,75008,30 RUE DE LISBONNE,48.8778294057,2.31372250026,"48.8778294057, 2.31372250026",True,"Bus,Métro","Activités de forme et de santé,Autres Danses,Expression gymnique",75,STUDIO N°4,KEEP COOL PARIS 8 MONCEAU,Sauna
Paris 12e Arrondissement,75012,16A BD DE REUILLY,48.838902,2.391222,"48.838902, 2.391222",True,"Métro,Bus","Activités de forme et de santé,Autres Danses",75,SALLE DE DANSE N°2,RE-CORPS,
Paris 18e Arrondissement,75018,172 RUE CHAMPIONNET,48.89567,2.33509,"48.89567, 2.33509",True,"Métro,Bus",Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley,75,TERRAIN DE VOLLEY BALL,CENTRE SPORTIF CHAMPIONNET,
Paris 20e Arrondissement,75020,21 RUE DES CENDRIERS,48.8661808133,2.38642950203,"48.8661808133, 2.38642950203",True,"Métro,Bus",Tennis,75,COURT DE TENNIS N°2,TEP AMANDIERS,
Paris 16e Arrondissement,75016,56 RUE LA FONTAINE,48.850728,2.271054,"48.850728, 2.271054",True,"Métro,Bus","Activités de forme et de santé,Musculation",75,SALLE DE CYCLING,HEALTHCITY PARIS XVI,Bain(s) de vapeur / hammam;Sauna
Paris 16e Arrondissement,75016,11 chemin de la croix catelan,48.8653,2.25654,"48.8653, 2.25654",True,,Tennis,75,COURT DE TENNIS EN GREENSET 4,LAGARDERE PARIS RACING,
Paris 12e Arrondissement,75012,ROUTE DU BOSQUET MORTEMART BOIS DE VINCENNES,48.827492,2.459229,"48.827492, 2.459229",False,Bus,Football / Football en salle (Futsal),75,TERRAIN DE FOOTBALL N°13,STADE PERSHING,
Paris 4e Arrondissement,75004,41 RUE DU TEMPLE,48.85972,2.35354,"48.85972, 2.35354",False,"Métro,Bus,Train",Autres Danses,75,SALLE WAGNER,CENTRE DE DANSE DU MARAIS,
Paris 8e Arrondissement,75008,30 RUE DE LISBONNE,48.87775,2.31365,"48.87775, 2.31365",True,"Bus,Métro","Activités de forme et de santé,Autres Danses,Expression gymnique",75,2 STUDIOS N° 1 ET 2,KEEP COOL PARIS 8 MONCEAU,Sauna
Paris 11e Arrondissement,75011,13 RUE FAIDHERBE PARIS,48.851609,2.383364,"48.851609, 2.383364",False,"Bus,Métro","Activités de forme et de santé,Musculation",75,SALLE DE MUSCULATON,KAJYN,
Paris 13e Arrondissement,75013,14 RUE VANDREZANNE,48.82801,2.35483,"48.82801, 2.35483",False,"Métro,Bus",Cyclisme en salle,75,SALLE RPM IMMERSIVE,CMG SPORT CLUB ONE ITALIE,Bain(s) de vapeur / hammam;Sauna
Paris 15e Arrondissement,75015,107 RUE DE LA CROIX NIVERT,48.8421,2.2951,"48.8421, 2.2951",False,"Métro,Bus","Basket-Ball,Handball / Mini hand / Handball de plage,Tennis,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley",75,PLATEAU MULTISPORTS,CENTRE SPORTIF CROIX NIVERT,
