annee,code_commune,arrondissement,zone_olap,lib_zone,nb_pieces,loyer_m2_median,loyer_m2_moyen,loyer_mensuel_median,loyer_mensuel_moyen,surface_moyenne,nb_observations,nb_logements
2022,75101,1,L7501.1.102,Zone 2,L7501.1.6,33.6,,,,,591.0,1.0
2022,75101,1,L7501.1.102,Zone 2,L7501.1.7,29.3,,,,,604.0,1.0
2022,75101,1,L7501.1.102,Zone 2,L7501.1.8,27.9,,,,,439.0,1.0
2022,75101,1,L7501.1.102,Zone 2,L7501.1.9,26.1,,,,,672.0,1.0
2022,75101,1,L7501.1.102,Zone 2,,29.2,,,,,974.2,1.0
2022,75102,2,L7501.1.102,Zone 2,L7501.1.6,33.6,,,,,591.0,1.0
2022,75102,2,L7501.1.102,Zone 2,L7501.1.7,29.3,,,,,604.0,1.0
2022,75102,2,L7501.1.102,Zone 2,L7501.1.8,27.9,,,,,439.0,1.0
2022,75102,2,L7501.1.102,Zone 2,L7501.1.9,26.1,,,,,672.0,1.0
2022,75102,2,L7501.1.102,Zone 2,,29.2,,,,,974.2,1.0
2022,75103,3,L7501.1.102,Zone 2,L7501.1.6,33.6,,,,,591.0,1.0
2022,75103,3,L7501.1.102,Zone 2,L7501.1.7,29.3,,,,,604.0,1.0
2022,75103,3,L7501.1.102,Zone 2,L7501.1.8,27.9,,,,,439.0,1.0
2022,75103,3,L7501.1.102,Zone 2,L7501.1.9,26.1,,,,,672.0,1.0
2022,75103,3,L7501.1.102,Zone 2,,29.2,,,,,974.2,1.0
2022,75104,4,L7501.1.102,Zone 2,L7501.1.6,33.6,,,,,591.0,1.0
2022,75104,4,L7501.1.102,Zone 2,L7501.1.7,29.3,,,,,604.0,1.0
2022,75104,4,L7501.1.102,Zone 2,L7501.1.8,27.9,,,,,439.0,1.0
2022,75104,4,L7501.1.102,Zone 2,L7501.1.9,26.1,,,,,672.0,1.0
2022,75104,4,L7501.1.102,Zone 2,,29.2,,,,,974.2,1.0
2022,75105,5,L7501.1.102,Zone 2,L7501.1.6,33.6,,,,,591.0,1.0
2022,75105,5,L7501.1.102,Zone 2,L7501.1.7,29.3,,,,,604.0,1.0
2022,75105,5,L7501.1.102,Zone 2,L7501.1.8,27.9,,,,,439.0,1.0
